numero_emenda;exercicio;subacao;unidade_gestora;credor;valor_empenhado;obs
1265;2024;"EM1B - EMENDA DERIVADA 50112/2024";"FUNDO ESTADUAL DE SAÚDE";"07868234000102 - FUNDO MUNICIPAL DE SAUDE DE PAUDALHO";165000;"SOF  675/2024 NUGEP. NOTA TÉCNICA  GPAF Nº 83/2024. EMENDA PARLAMENTAR Nº 1265 REFERENTE A AQUISIÇÃO DE MEDICAMNENTOS PARA AS UNIDADES DE SAÚDE DO MUNICÍPIO DE PAUDALHO."
1270;2024;"ELXV - EMENDA DERIVADA 40108/2024";"FUNDO ESTADUAL DE SAÚDE";"08720669000160 - INSTITUTO REVIVER BRASIL";179333.33;"SOF 529/24-NUGEP. NOTA TÉCNICA - SES - COORDENAÇÃO DE SAÚDE BUCAL - Nº 21/2024. EMENDA PARLAMENTAR Nº 1270 REFERENTE A AQUISIÇÃO DE UNIDADE MÓVEL ODONTOLÓGICA."
1279;2024;"ELTY - EMENDA DERIVADA 40063/2024";"FUNDO ESTADUAL DE SAÚDE";"11683174000112 - ASS. PROT.MATERNIDADE E A INFANCIA DA VITORIA ST ANTAO";299988;"SOF 520/24 - NUGEP. NOTA TÉCNICA 51667178. EMENDA PARLAMENTAR Nº 1279 OBJETIVANDO A AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS."
1280;2024;"ELQ3 - EMENDA DERIVADA 20111/2024";"FUNDO ESTADUAL DE SAÚDE";"11293112000102 - FUNDO MUNICIPAL DE SAUDE DE TUPARETAMA";60000;"SOF - 460/2024 - NUGEP. NOTA TÉCNICA  DGAP Nº 64/2024. EMENDA PARLAMENTAR Nº 1280 OBJETIVANDO A AQUISIÇÃO DE EQUIPAMENTOS PARA UNIDADES BÁSICAS DE SAÚDE."
1286;2024;"ELT3 - EMENDA DERIVADA 30070/2024";"FUNDO ESTADUAL DE SAÚDE";"10488181000109 - FUNDO MUNICIPAL DE SAUDE DE PESQUEIRA";300000;"SOF 485/2024  NUGEP. NOTA TÉCNICA  GEPAF Nº 128/2024. EMENDA PARLAMENTAR Nº 1286 REFERENTE A OFERTA DE INSUMOS FARMACOLÓGICO PARA ATENDER AS DEMANDAS DA MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR DO MUNICIPIO DE PESQUEIRA-PE."
2023;2024;"EK3R - EMENDA PARLAMENTAR NO.555/2022";"UPE CAMPUS MATA NORTE";"35785276000107 - LUCIANO SERGIO GUIMARAES DE SA BARRETO";99684.9;"REF. AQUISIÇÃO DE POLTRONAS E CADEIRAS LONGARINAS E GIRATÓRIAS CMN - RECURSOS DE EMENDA PARLAMENTAR."
20162;2024;"ELLY - EMENDA DERIVADA 20162/2024";"SECRETARIA ESPECIAL DA MULHER";"07012306000107 - INSTITUTO DE DESENVOLVIMENTO SOCIAL-IDS";123050;"EMPENHO DESTINA-SE ATENDER A EMENDA PARLAMENTAR Nº 20162/2024, SEI Nº 4400000060.000440/2024-40,"
90009;2024;"EM85 - EMENDA DERIVADA 90009/2024";"SECRETARIA ESPECIAL DA MULHER";"11461121000157 - GREMIO RECREATIVO BOI ESTRELA";70000;"EMPENHO DESTINA-SE ATENDER A EMENDA PARLAMENTAR Nº 90009/2024. SEI Nº 4400000060.001055/2024-10"
2300000029;2024;"EJUB - EMENDA PARLAMENTAR NO.215/2022";"HOSPITAL GETULIO VARGAS";"10779833000156 - MEDICAL MERCANTIL DE APARELHAGEM MEDICA LTDA";27466.2;"SEI REF. A ADESÃO 2300001068.000105/2023-10, SEI DA EMENDA 2300000029.001593/2023-86."
14;2025;"ELQZ - EMENDA DERIVADA 30066/2024";"FUNDO ESTADUAL DE SAÚDE";"11334929000173 - FUNDO MUNICIPAL DE SAUDE DA GAMELEIRA";686000;"SOF  671/2024 - SES - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 113/2024. EMENDA PARLAMENTAR Nº 14 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS E INSUMOS."
076;2025;"ELI3 - EMENDA PARLAMENTAR NO 233 - 2";"HOSPITAL UNIVERSITÁRIO OSWALDO CRUZ";"08958628000106 - ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA";99960;"ATENDER 2498/2024 (60193589) REF. A CI Nº. 677/2024 ABAST FARMACÊUTICO (60169292), PL Nº. 1648.2024.CPL.HUOC.PE.0025.HUOC	, AQUISIÇÃO DE INSUMOS. EMENDA PARLAMENTAR 076.ELI3.0500710000."
0076;2025;"ELI8 - EMENDA PARLAMENTAR NO 501 - 2";"HOSPITAL UNIVERSITÁRIO OSWALDO CRUZ";"66783630000279 - PRO-LIFE EQUIPAMENTOS MEDICOS LTDA";54000;"ATENDER DESPACHO 2523/2024 (60218859), 3333.2024.CCD.IN.0016.HUOC, DFD 59612791, CENTRAL DE MONITORACAO FISIOLOGICA MULTIPARAMETROS. EMENDA PARLAMENTAR 0076.ELI8.0500710000."
91;2025;"EM26 - EMENDA DERIVADA 50044/2024";"FUNDO ESTADUAL DE SAÚDE";"09471844000195 - FUNDO MUNICIPAL DE SAUDE DE JAQUEIRA";244999.8;"SOF  679/2024 - SES - NUGEP. NOTA TÉCNICA - SES - DIRETORIA GERAL DE ATENÇÃO PRIMÁRIA - (ANTIGA SAP) - Nº 80/2024. EMENDA Nº 91 REFERENTE A AQUISIÇÃO DE EQUIPAMENTOS PARA ATENÇÃO PRIMÁRIA"
93;2025;"ELX0 - EMENDA DERIVADA 40055/2024";"FUNDO ESTADUAL DE SAÚDE";"08720669000160 - INSTITUTO REVIVER BRASIL";300000;"SOF 528/24-NUGEP. NOTA TÉCNICA - SES - COORDENAÇÃO DE SAÚDE BUCAL - Nº 21/2024. EMENDA PARLAMENTAR Nº 93 REFERENTE A AQUISIÇÃO DE UNIDADE MÓVEL ODONTOLÓGICA."
163;2025;"ELWJ - EMENDA DERIVADA 40004/2024";"FUNDO ESTADUAL DE SAÚDE";"07421280000150 - INSTITUTO DO FIGADO E TRANSPLANTE DE PERNAMBUCO - IFP";120000;"SOF  583/2024   NUGEP/SEAF. NOTA TÉCNICA Nº 108/2024. EMENDA PARLAMENTAR Nº 163 REFERENTE A AQUISIÇÃO DE 02 EQUIPAMENTOS DE VÍDEOENDOSCOPIA E 01 EQUIPAMENTO DE PHMETRIA."
169;2025;"EN59 - EMENDA DERIVADA 10047/2025";"FUNDO ESTADUAL DE SAÚDE";"09099349000105 - FUNDO MUNICIPAL DE SAUDE DE JUPI";250000;"SOF 461/25 - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 80/2025. EMENDA PARLAMENTAR Nº 169 REFERENTE A AQUISIÇÃO DE  MEDICAMENTOS E INSUMOS"
184;2025;"ELLQ - EMENDA DERIVADA 20041/2024";"FUNDO ESTADUAL DE SAÚDE";"24262537000198 - INSTITUTO MEMORIAL DO AGRESTE - IMA";100000;"SOF 376/24 - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 35/2024. EMENDA PARLAMENTAR Nº 184 REFERENTE A AQUISIÇÃO DE MATERIAIS MÉDICO/HOSPITALARES PARA O HOSPITAL MEMORIAL DE PERNAMBUCO."
