numero_emenda;exercicio;processo_sei;valor_empenhado;credor
439;2024;2300000029.003874/2022-92;0;"35667229000169 - FUNDO MUNICIPAL DE SAUDE DE QUIXABA"
443;2024;2300000029.001654/2023-13;400000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
444;2024;2300000029.001654/2023-13;1600000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
445;2024;2300000029.001654/2023-13;800000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
448;2024;2300000029.005173/2023-79;98000;"20511923000115 - REDE FEMININA MUNICIPAL DE COMBATE AO CANCER DE CARPINA"
501;2024;2300000029.001654/2023-13;700000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
503;2024;2300000029.001654/2023-13;1700000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
504;2024;2300000029.001654/2023-13;398300;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
576;2024;2300000029.003028/2023-53;188180;"12424026000146 - FUNDO MUNICIPAL DE SAUDE DE CEDRO"
616;2024;2300000029.005621/2023-34;77380.8;"08247860000136 - FUNDO MUNICIPAL DE SAUDE DE CATENDE"
645;2024;2300000029.001261/2024-82;200000;"10739225001866 - INSTITUTO SOCIAL DAS MEDIANEIRAS DA PAZ"
652;2024;2300000029.006590/2023-39;200000;"10352324000142 - FUNDO MUNICIPAL DE SAUDE DE VENTUROSA"
700;2024;2300000029.005681/2023-57;299208.98;"38144672000143 - INSTITUTO CRIACAO"
777;2024;2300000029.004200/2024-77;59506.6;"440715 - FUNDACAO UNIVERSIDADE DE PERNAMBUCO"
361;2025;2300000029.004051/2023-65;200000;"11292383000135 - FUNDO MUNICIPAL DE SAUDE DE SOLIDAO"
439;2025;2300000029.003874/2022-92;0;"35667229000169 - FUNDO MUNICIPAL DE SAUDE DE QUIXABA"
